Year,Orchard,State,Region,Variety,Days over 40C,Days over 35C,Total Amount of rain ml since 1 Jan,No of rain days since 1 Jan,Days since last rain <5days from assess,Amt rain in last event<5days from assess,Days since last rain >5days from assess,Amt rain in last event>5days from assess,Total rain Jan mm,No rain days Jan,Total rain Feb mm,No rain days Feb,Rain 1st week Jan,Rain 2nd week  Jan,Rain 3rd week  Jan,Rain 4th week  Jan,Rain within 7 days of assessment,Rain within 10 days of assessment,Total_Trees_Assessed,HR Incidence
2019.2,Cmv Lp,SA,Riverland,Peerless,3.0,6.0,11.4,3.0,9.0,2.0,9.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,21,0.1428571428571428
2019.2,Domenic Cavallaro,SA,Adelaide Plains,Carina,4.0,8.0,32.8,9.0,9.0,21.0,8.0,16.8,10.8,5.0,22.0,4.0,2.0,0.8,7.0,1.0,1.8,22.0,6,0.5
2019.2,Domenic Cavallaro,SA,Adelaide Plains,Keane,4.0,8.0,32.8,9.0,9.0,21.0,8.0,16.8,10.8,5.0,22.0,4.0,2.0,0.8,7.0,1.0,1.8,22.0,8,0.75
2019.2,Domenic Cavallaro,SA,Adelaide Plains,Np,4.0,8.0,32.8,9.0,9.0,21.0,8.0,16.8,10.8,5.0,22.0,4.0,2.0,0.8,7.0,1.0,1.8,22.0,32,0.84375
2019.2,Egan Rd,NSW,Riverina,Carmel,6.0,15.0,46.0,3.0,1.0,12.0,19.0,24.0,34.0,2.0,12.0,1.0,0.0,0.0,34.0,0.0,12.0,12.0,7,0.0
2019.2,Egan Rd,NSW,Riverina,Independence,6.0,15.0,46.0,3.0,1.0,12.0,19.0,24.0,34.0,2.0,12.0,1.0,0.0,0.0,34.0,0.0,12.0,12.0,4,0.0
2019.2,Egan Rd,NSW,Riverina,Monterey,6.0,15.0,46.0,3.0,1.0,12.0,19.0,24.0,34.0,2.0,12.0,1.0,0.0,0.0,34.0,0.0,12.0,12.0,1,1.0
2019.2,Egan Rd,NSW,Riverina,Np,6.0,15.0,46.0,3.0,1.0,12.0,19.0,24.0,34.0,2.0,12.0,1.0,0.0,0.0,34.0,0.0,12.0,12.0,9,0.7777777777777778
2019.2,Egan Rd,NSW,Riverina,Peerless,6.0,15.0,46.0,3.0,1.0,12.0,19.0,24.0,34.0,2.0,12.0,1.0,0.0,0.0,34.0,0.0,12.0,12.0,2,0.0
2019.2,Egan Rd,NSW,Riverina,Price,6.0,15.0,46.0,3.0,1.0,12.0,19.0,24.0,34.0,2.0,12.0,1.0,0.0,0.0,34.0,0.0,12.0,12.0,2,1.0
2019.2,Freeman Farming,SA,Riverland,Carmel,3.0,7.0,11.4,3.0,10.0,2.0,10.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,36,0.2222222222222222
2019.2,Freeman Farming,SA,Riverland,Ne Plus,3.0,7.0,11.4,3.0,10.0,2.0,10.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,11,0.1818181818181818
2019.2,Freeman Farming,SA,Riverland,Np,3.0,7.0,11.4,3.0,10.0,2.0,10.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,27,0.5185185185185185
2019.2,Gary Thorpe,SA,Riverland,Carmel,2.0,7.0,29.6,6.0,4.0,17.0,15.0,1.4,12.6,4.0,17.0,2.0,10.4,0.8,1.4,0.0,17.0,17.0,12,0.3333333333333333
2019.2,Gary Thorpe,SA,Riverland,Np,2.0,7.0,29.6,6.0,4.0,17.0,15.0,1.4,12.6,4.0,17.0,2.0,10.4,0.8,1.4,0.0,17.0,17.0,31,0.3548387096774194
2019.2,Gary Thorpe,SA,Riverland,Peerless,2.0,7.0,29.6,6.0,4.0,17.0,15.0,1.4,12.6,4.0,17.0,2.0,10.4,0.8,1.4,0.0,17.0,17.0,11,0.1818181818181818
2019.2,Gone Nuts,SA,Riverland,Carmel,2.0,7.0,12.0,4.0,11.0,1.8,11.0,1.8,12.0,4.0,0.0,0.0,9.8,0.4,1.8,0.0,0.0,0.0,12,0.0833333333333333
2019.2,Gone Nuts,SA,Riverland,Fritz,2.0,7.0,12.0,4.0,11.0,1.8,11.0,1.8,12.0,4.0,0.0,0.0,9.8,0.4,1.8,0.0,0.0,0.0,11,0.1818181818181818
2019.2,Gone Nuts,SA,Riverland,Ne Plus,2.0,7.0,12.0,4.0,11.0,1.8,11.0,1.8,12.0,4.0,0.0,0.0,9.8,0.4,1.8,0.0,0.0,0.0,5,0.0
2019.2,Gone Nuts,SA,Riverland,Np,2.0,7.0,12.0,4.0,11.0,1.8,11.0,1.8,12.0,4.0,0.0,0.0,9.8,0.4,1.8,0.0,0.0,0.0,30,0.3
2019.2,Jubilee,SA,Riverland,Carina,3.0,6.0,51.0,8.0,3.0,35.4,14.0,3.4,15.6,5.0,35.4,3.0,11.4,0.8,3.4,0.0,35.4,35.4,25,0.08
2019.2,Jubilee,SA,Riverland,Carmel,3.0,6.0,51.0,8.0,3.0,35.4,14.0,3.4,15.6,5.0,35.4,3.0,11.4,0.8,3.4,0.0,35.4,35.4,25,0.08
2019.2,Jubilee,SA,Riverland,Monterey,3.0,6.0,51.0,8.0,3.0,35.4,14.0,3.4,15.6,5.0,35.4,3.0,11.4,0.8,3.4,0.0,35.4,35.4,36,0.0277777777777777
2019.2,Jubilee,SA,Riverland,Ne Plus,3.0,6.0,51.0,8.0,3.0,35.4,14.0,3.4,15.6,5.0,35.4,3.0,11.4,0.8,3.4,0.0,35.4,35.4,5,0.2
2019.2,Jubilee,SA,Riverland,Np,3.0,6.0,51.0,8.0,3.0,35.4,14.0,3.4,15.6,5.0,35.4,3.0,11.4,0.8,3.4,0.0,35.4,35.4,77,0.7792207792207793
2019.2,Jubilee,SA,Riverland,Vella,3.0,6.0,51.0,8.0,3.0,35.4,14.0,3.4,15.6,5.0,35.4,3.0,11.4,0.8,3.4,0.0,35.4,35.4,42,0.0476190476190476
2019.2,Jubilee,SA,Riverland,Wood Colony,3.0,6.0,51.0,8.0,3.0,35.4,14.0,3.4,15.6,5.0,35.4,3.0,11.4,0.8,3.4,0.0,35.4,35.4,6,0.1666666666666666
2019.2,Lake Powell,Vic,Sunraysia,Carmel,4.0,11.0,6.8,8.0,4.0,2.2,12.0,1.6,4.6,6.0,2.2,2.0,0.8,0.2,2.0,1.6,2.2,2.2,35,0.0285714285714285
2019.2,Lake Powell,Vic,Sunraysia,Np,4.0,11.0,6.8,8.0,4.0,2.2,12.0,1.6,4.6,6.0,2.2,2.0,0.8,0.2,2.0,1.6,2.2,2.2,42,0.7380952380952381
2019.2,Lake Powell,Vic,Sunraysia,Price,4.0,11.0,6.8,8.0,4.0,2.2,12.0,1.6,4.6,6.0,2.2,2.0,0.8,0.2,2.0,1.6,2.2,2.2,4,0.0
2019.2,Margooya,Vic,Sunraysia,Carmel,2.0,10.0,16.8,9.0,2.0,2.2,11.0,1.0,14.6,8.0,2.2,1.0,9.8,0.8,3.0,1.0,2.2,2.2,21,0.0
2019.2,Margooya,Vic,Sunraysia,Monterey,2.0,10.0,16.8,9.0,2.0,2.2,11.0,1.0,14.6,8.0,2.2,1.0,9.8,0.8,3.0,1.0,2.2,2.2,1,0.0
2019.2,Margooya,Vic,Sunraysia,Np,2.0,10.0,16.8,9.0,2.0,2.2,11.0,1.0,14.6,8.0,2.2,1.0,9.8,0.8,3.0,1.0,2.2,2.2,25,0.76
2019.2,Margooya,Vic,Sunraysia,Price,2.0,10.0,16.8,9.0,2.0,2.2,11.0,1.0,14.6,8.0,2.2,1.0,9.8,0.8,3.0,1.0,2.2,2.2,10,0.4
2019.2,Mclaren Dr,Vic,Sunraysia,Carmel,0.0,1.0,1.4,4.0,11.0,0.4,11.0,0.4,1.4,4.0,0.0,0.0,1.0,0.4,0.0,1.0,0.0,0.0,5,0.0
2019.2,Mclaren Dr,Vic,Sunraysia,Monterey,0.0,1.0,1.4,4.0,11.0,0.4,11.0,0.4,1.4,4.0,0.0,0.0,1.0,0.4,0.0,1.0,0.0,0.0,5,0.0
2019.2,Mclaren Dr,Vic,Sunraysia,Np,0.0,1.0,1.4,4.0,11.0,0.4,11.0,0.4,1.4,4.0,0.0,0.0,1.0,0.4,0.0,1.0,0.0,0.0,21,0.5714285714285714
2019.2,Mclaren Dr,Vic,Sunraysia,Price,0.0,1.0,1.4,4.0,11.0,0.4,11.0,0.4,1.4,4.0,0.0,0.0,1.0,0.4,0.0,1.0,0.0,0.0,3,0.0
2019.2,Meilman,Vic,Sunraysia,Carmel,2.0,10.0,16.8,9.0,5.0,2.2,14.0,1.0,14.6,8.0,2.2,1.0,9.8,0.8,3.0,1.0,2.2,2.2,19,0.0
2019.2,Meilman,Vic,Sunraysia,Monterey,2.0,10.0,16.8,9.0,5.0,2.2,14.0,1.0,14.6,8.0,2.2,1.0,9.8,0.8,3.0,1.0,2.2,2.2,13,0.0
2019.2,Meilman,Vic,Sunraysia,Np,2.0,10.0,16.8,9.0,5.0,2.2,14.0,1.0,14.6,8.0,2.2,1.0,9.8,0.8,3.0,1.0,2.2,2.2,30,0.4333333333333333
2019.2,Mullroo,Vic,Sunraysia,Carmel,1.0,10.0,6.0,4.0,7.0,2.4,7.0,2.4,6.0,4.0,0.0,0.0,3.2,0.2,0.2,2.4,2.4,2.4,13,0.0
2019.2,Mullroo,Vic,Sunraysia,Monterey,1.0,10.0,6.0,4.0,7.0,2.4,7.0,2.4,6.0,4.0,0.0,0.0,3.2,0.2,0.2,2.4,2.4,2.4,22,0.0
2019.2,Mullroo,Vic,Sunraysia,Np,1.0,10.0,6.0,4.0,7.0,2.4,7.0,2.4,6.0,4.0,0.0,0.0,3.2,0.2,0.2,2.4,2.4,2.4,43,0.4186046511627907
2019.2,Mullroo,Vic,Sunraysia,Price,1.0,10.0,6.0,4.0,7.0,2.4,7.0,2.4,6.0,4.0,0.0,0.0,3.2,0.2,0.2,2.4,2.4,2.4,2,0.0
2019.2,Nick Pezzaniti,SA,Adelaide Plains,Fritz,4.0,8.0,31.8,8.0,5.0,21.0,4.0,16.8,10.8,5.0,21.0,3.0,2.0,0.8,7.0,1.0,21.0,21.0,8,0.625
2019.2,Nick Pezzaniti,SA,Adelaide Plains,Keane,4.0,8.0,31.8,8.0,5.0,21.0,4.0,16.8,10.8,5.0,21.0,3.0,2.0,0.8,7.0,1.0,21.0,21.0,31,0.3225806451612903
2019.2,Nick Pezzaniti,SA,Adelaide Plains,Np,4.0,8.0,31.8,8.0,5.0,21.0,4.0,16.8,10.8,5.0,21.0,3.0,2.0,0.8,7.0,1.0,21.0,21.0,72,0.5833333333333334
2019.2,Nick Pezzaniti,SA,Adelaide Plains,Price,4.0,8.0,31.8,8.0,5.0,21.0,4.0,16.8,10.8,5.0,21.0,3.0,2.0,0.8,7.0,1.0,21.0,21.0,7,0.5714285714285714
2019.2,Nutwood,Vic,Riverland,Carmel,3.0,6.0,11.4,3.0,9.0,2.0,9.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,18,0.0
2019.2,Nutwood,Vic,Riverland,Monterey,3.0,6.0,11.4,3.0,9.0,2.0,9.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,1,0.0
2019.2,Nutwood,Vic,Riverland,Np,3.0,6.0,11.4,3.0,9.0,2.0,9.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,36,0.8888888888888888
2019.2,Nutwood,Vic,Riverland,Peerless,3.0,6.0,11.4,3.0,9.0,2.0,9.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,1,0.0
2019.2,Nutwood,Vic,Riverland,Price,3.0,6.0,11.4,3.0,9.0,2.0,9.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,4,0.0
2019.2,Nutwood,Vic,Riverland,Wood Colony,3.0,6.0,11.4,3.0,9.0,2.0,9.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,3,0.0
2019.2,Outback,NSW,Sunraysia,Carmel,3.0,7.0,0.8,1.0,10.0,0.8,10.0,0.8,0.8,1.0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.8,15,0.0
2019.2,Outback,NSW,Sunraysia,Fritz,3.0,7.0,0.8,1.0,10.0,0.8,10.0,0.8,0.8,1.0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.8,4,0.0
2019.2,Outback,NSW,Sunraysia,Np,3.0,7.0,0.8,1.0,10.0,0.8,10.0,0.8,0.8,1.0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.8,21,0.4285714285714285
2019.2,Outback,NSW,Sunraysia,Wood Colony,3.0,7.0,0.8,1.0,10.0,0.8,10.0,0.8,0.8,1.0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.8,2,0.0
2019.2,Vince Ruggiero,SA,Adelaide Plains,Johnson,4.0,8.0,31.8,8.0,5.0,21.0,4.0,16.8,10.8,5.0,21.0,3.0,2.0,0.8,7.0,1.0,21.0,21.0,34,0.3529411764705882
2019.2,Vince Ruggiero,SA,Adelaide Plains,Np,4.0,8.0,31.8,8.0,5.0,21.0,4.0,16.8,10.8,5.0,21.0,3.0,2.0,0.8,7.0,1.0,21.0,21.0,53,0.7924528301886793
2019.2,Vince Ruggiero,SA,Adelaide Plains,Wild Type,4.0,8.0,31.8,8.0,5.0,21.0,4.0,16.8,10.8,5.0,21.0,3.0,2.0,0.8,7.0,1.0,21.0,21.0,55,0.3818181818181818
2019.2,Walker Flat Almonds,SA,Riverland,Carina,1.0,4.0,7.6,5.0,3.0,0.6,12.0,0.2,7.6,5.0,0.0,0.0,6.8,0.2,0.2,0.4,0.6,0.6,10,0.1
2019.2,Walker Flat Almonds,SA,Riverland,Carmel,1.0,4.0,7.6,5.0,3.0,0.6,12.0,0.2,7.6,5.0,0.0,0.0,6.8,0.2,0.2,0.4,0.6,0.6,25,0.08
2019.2,Walker Flat Almonds,SA,Riverland,Maxima,1.0,4.0,7.6,5.0,3.0,0.6,12.0,0.2,7.6,5.0,0.0,0.0,6.8,0.2,0.2,0.4,0.6,0.6,6,0.1666666666666666
2019.2,Walker Flat Almonds,SA,Riverland,Np,1.0,4.0,7.6,5.0,3.0,0.6,12.0,0.2,7.6,5.0,0.0,0.0,6.8,0.2,0.2,0.4,0.6,0.6,82,0.024390243902439
2019.2,Walker Flat Almonds,SA,Riverland,Price,1.0,4.0,7.6,5.0,3.0,0.6,12.0,0.2,7.6,5.0,0.0,0.0,6.8,0.2,0.2,0.4,0.6,0.6,21,0.0
2019.2,Wemen,Vic,Sunraysia,Carmel,2.0,8.0,9.6,7.0,3.0,0.6,14.0,3.8,9.0,6.0,0.6,1.0,2.8,1.0,4.4,0.8,0.6,0.6,6,0.0
2019.2,Wemen,Vic,Sunraysia,Np,2.0,8.0,9.6,7.0,3.0,0.6,14.0,3.8,9.0,6.0,0.6,1.0,2.8,1.0,4.4,0.8,0.6,0.6,12,0.9166666666666666
2019.2,Wemen,Vic,Sunraysia,Price,2.0,8.0,9.6,7.0,3.0,0.6,14.0,3.8,9.0,6.0,0.6,1.0,2.8,1.0,4.4,0.8,0.6,0.6,4,0.0
2019.2,Yilgah,NSW,Riverina,Carmel,6.0,16.0,79.0,6.0,2.0,34.0,21.0,28.0,40.0,4.0,39.0,2.0,0.0,0.0,40.0,0.0,39.0,39.0,18,0.6111111111111112
2019.2,Yilgah,NSW,Riverina,Independence,6.0,16.0,79.0,6.0,2.0,34.0,21.0,28.0,40.0,4.0,39.0,2.0,0.0,0.0,40.0,0.0,39.0,39.0,11,0.9090909090909092
2019.2,Yilgah,NSW,Riverina,Np,6.0,16.0,79.0,6.0,2.0,34.0,21.0,28.0,40.0,4.0,39.0,2.0,0.0,0.0,40.0,0.0,39.0,39.0,19,1.0
2019.2,Yilgah,NSW,Riverina,Price,6.0,16.0,79.0,6.0,2.0,34.0,21.0,28.0,40.0,4.0,39.0,2.0,0.0,0.0,40.0,0.0,39.0,39.0,5,1.0
